Application: Tecan i-control,,,,"Tecan i-control , 1.11.1.0",,,,,
Device: infinite 200Pro,,,,Serial number: 1602000080,,,,Serial number of connected stacker:,
Firmware: V_3.40_01/15_Infinite (Dec 23 2014/12.45.11),,,,"MAI, V_3.40_01/15_Infinite (Dec 23 2014/12.45.11)",,,,,
,,,,,,,,,
Date:,8/28/2024,,,,,,,,
Time:,1:41:24 PM,,,,,,,,
,,,,,,,,,
,,,,,,,,,
System,,,,DESKTOP-R891HJ3,,,,,
User,,,,DESKTOP-R891HJ3\Barrick Lab,,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrene Cat. No.: 655101/655161/655192 [GRE96ft.pdfx],,,,,
Plate-ID (Stacker),,,,,,,,,
,,,,,,,,,
Wait (Plate),,,,On,Target Temperature: 37 °C,,,,
,,,,,,,,,
Wait (Plate Temperature),,,,Valid Range: 36.5 - 37.5 °C,,,,,
,,,,,,,,,
List of actions in this measurement script:,,,,,,,,,
B11,10,9,9,9,12,11,10,11,11
C2,11,7,10,8,11,11,9,9,9
C3,10,6,8,8,8,10,10,10,7
C4,12,9,10,10,9,9,10,10,10
C5,10,9,10,10,10,9,12,11,11
C6,9,10,8,8,11,9,9,11,9
C7,867,703,674,662,647,651,663,657,674
C8,1469,1138,1096,1064,1069,1069,1097,1110,1133
C9,1400,1100,1044,1015,1017,1001,1034,1061,1066
C10,1343,1129,1054,1035,1040,1028,1041,1057,1084
C11,510,376,359,348,348,354,367,363,375
D2,9,9,9,9,11,10,9,11,11
D3,9,9,8,9,9,11,12,9,9
D4,10,8,8,9,9,11,9,9,10
D5,11,9,7,9,9,10,10,11,11
D6,11,9,9,7,10,10,11,10,12
D7,1003,818,784,761,756,747,767,791,810
D8,1132,930,889,871,860,878,888,936,961
D9,1168,960,918,881,878,885,890,923,937
D10,1061,861,819,814,804,808,805,822,851
D11,230,191,186,183,184,182,189,199,206
E2,11,8,8,8,11,9,9,10,10
E3,9,8,8,9,11,7,10,12,11
E4,10,9,8,8,11,10,8,9,10
E5,10,7,8,12,10,9,10,10,9
E6,10,10,10,9,10,10,10,10,11
E7,1707,1411,1353,1323,1330,1339,1341,1362,1399
E8,1596,1302,1245,1205,1206,1203,1258,1270,1298
E9,2203,1774,1686,1657,1643,1633,1673,1697,1731
E10,1506,1271,1199,1178,1170,1166,1205,1222,1255
E11,763,648,613,595,596,597,618,637,654
F2,11,8,10,9,9,9,10,10,9
F3,9,9,9,10,10,10,9,8,11
F4,11,9,9,10,10,10,11,11,12
F5,11,9,8,8,9,10,10,9,9
F6,11,9,8,10,10,10,10,9,10
F7,1502,1206,1144,1132,1102,1110,1141,1162,1192
F8,1538,1276,1216,1190,1175,1182,1212,1242,1273
F9,1867,1480,1428,1397,1373,1384,1436,1427,1459
F10,1551,1269,1183,1179,1175,1181,1222,1237,1255
F11,703,573,540,537,537,533,546,564,562
G2,10,8,11,10,10,10,11,10,10
G3,9,9,7,8,9,10,13,9,10
G4,10,9,8,9,10,10,11,10,10
G5,10,8,10,10,12,11,10,9,11
G6,10,7,8,8,7,10,10,11,11
G7,1388,1085,1043,1033,1017,1024,1044,1045,1083
G8,1343,1083,1038,1026,1021,1011,1043,1055,1071
G9,1658,1306,1237,1230,1207,1204,1227,1257,1282
G10,1007,850,803,790,797,789,806,817,826
G11,392,332,315,314,313,311,324,327,330
,,,,,,,,,
OD660,,,,,,,,,
Cycle Nr.,1,2,3,4,5,6,7,8,9
Time [s],0,900,1800.2,2700,3600,4500,5400,6300.2,7200
Temp. [°C],37.1,37,37,37,37,37.2,37.1,37,37.1
