Application: Tecan i-control,,,,"Tecan i-control , 1.11.1.0",,,,,
Device: infinite 200Pro,,,,Serial number: 1602000080,,,,Serial number of connected stacker:,
Firmware: V_3.40_01/15_Infinite (Dec 23 2014/12.45.11),,,,"MAI, V_3.40_01/15_Infinite (Dec 23 2014/12.45.11)",,,,,
,,,,,,,,,
Date:,9/24/2024,,,,,,,,
Time:,11:29:26 AM,,,,,,,,
,,,,,,,,,
,,,,,,,,,
System,,,,DESKTOP-R891HJ3,,,,,
User,,,,DESKTOP-R891HJ3\Barrick Lab,,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrene Cat. No.: 655101/655161/655192 [GRE96ft.pdfx],,,,,
Plate-ID (Stacker),,,,,,,,,
,,,,,,,,,
Wait (Plate),,,,On,Target Temperature: 37 °C,,,,
,,,,,,,,,
Wait (Plate Temperature),,,,Valid Range: 36.5 - 37.5 °C,,,,,
,,,,,,,,,
List of actions in this measurement script:,,,,,,,,,
B10,10,9,10,9,11,11,10,12,13
B11,9,9,9,10,11,11,11,11,11
C2,9,9,12,11,9,11,10,11,13
C3,9,12,10,11,11,11,10,12,12
C4,9,11,11,10,12,11,11,11,11
C5,9,11,9,8,10,10,10,13,11
C6,9,9,9,10,11,10,12,11,12
C7,72,165,293,404,511,585,664,737,806
C8,951,863,825,836,846,900,950,1007,1060
C9,122,196,349,496,605,694,749,825,852
C10,65,138,259,360,438,497,548,584,600
C11,13,21,44,62,91,98,106,111,116
D2,9,10,11,11,10,12,12,12,12
D3,9,10,10,11,10,12,12,11,12
D4,8,10,10,10,9,11,11,11,12
D5,10,10,10,13,11,11,12,11,12
D6,8,11,10,10,9,12,12,12,13
D7,159,237,392,541,654,737,842,933,1003
D8,888,840,817,832,863,890,975,1008,1060
D9,56,104,208,317,424,486,547,580,607
D10,31,62,133,207,273,322,365,380,388
D11,30,41,72,106,134,155,178,182,197
E2,8,10,10,11,12,10,10,10,12
E3,8,8,10,11,11,11,11,12,12
E4,8,10,11,10,10,11,10,12,11
E5,9,10,11,10,11,10,12,11,12
E6,8,9,10,10,12,12,11,13,13
E7,321,414,612,801,943,1071,1191,1287,1374
E8,249,362,586,787,971,1109,1213,1349,1446
E9,236,356,601,844,1053,1189,1357,1475,1566
E10,112,187,336,482,604,686,774,831,870
E11,26,52,112,170,226,266,307,329,347
F2,10,10,9,10,10,12,12,11,11
F3,10,9,12,11,11,10,11,12,12
F4,8,11,11,10,12,11,11,14,12
F5,10,10,9,9,10,12,11,11,12
F6,9,9,9,11,11,11,11,11,13
F7,418,500,702,857,989,1100,1235,1302,1403
F8,154,264,496,699,882,1013,1149,1250,1352
F9,1218,1070,1046,1045,1104,1152,1269,1365,1433
F10,149,231,384,540,659,744,821,874,917
F11,380,273,278,273,296,304,334,350,360
G2,9,10,10,11,10,11,11,12,13
G3,9,10,11,11,11,10,10,12,11
G4,10,10,8,10,11,11,12,11,13
G5,9,10,10,11,12,10,11,9,12
G6,9,8,10,11,11,11,11,12,12
G7,92,163,318,461,578,701,811,921,1019
G8,213,299,463,627,744,835,940,1031,1108
G9,346,417,541,659,771,853,931,1022,1065
G10,112,148,247,335,413,452,517,540,558
G11,79,80,105,131,151,168,190,195,192
,,,,,,,,,
OD660,,,,,,,,,
Cycle Nr.,1,2,3,4,5,6,7,8,9
Time [s],0,900.2,1800.2,2700,3600.2,4500,5400.2,6300.2,7200.2
Temp. [°C],37.7,37,37,37,37,37.2,37.2,37.2,37.2
B2,0.0895000025629997,0.0892999991774559,0.0894000008702278,0.089699998497963,0.0887999981641769,0.0886000022292137,0.089199997484684,0.090999998152256,0.0901999995112419
B3,0.0904000028967857,0.0904000028967857,0.0913000032305718,0.0901999995112419,0.090999998152256,0.0913999974727631,0.0901999995112419,0.0898000001907349,0.0900000035762787
B4,0.090599998831749,0.0907000005245209,0.09009999781847,0.0908000022172928,0.0913000032305718,0.0913000032305718,0.089699998497963,0.0907000005245209,0.0900000035762787
B5,0.0907000005245209,0.0904999971389771,0.0904000028967857,0.0908000022172928,0.09009999781847,0.09009999781847,0.0901999995112419,0.0907000005245209,0.0922999978065491
B6,0.0901999995112419,0.0912000015377998,0.0920000001788139,0.093699999153614,0.0930999964475632,0.0907000005245209,0.090999998152256,0.0925000011920929,0.090999998152256
B7,0.0899000018835068,0.0908000022172928,0.0903000012040138,0.0903000012040138,0.0903000012040138,0.0899000018835068,0.0899000018835068,0.0900000035762787,0.0901999995112419
B8,0.0904999971389771,0.090999998152256,0.090999998152256,0.090999998152256,0.091899998486042,0.090599998831749,0.0904999971389771,0.0904999971389771,0.0910999998450279
B9,0.0908000022172928,0.0922000035643578,0.0916000008583069,0.0913000032305718,0.091499999165535,0.0917000025510788,0.0916000008583069,0.091899998486042,0.0910999998450279
B10,0.0904000028967857,0.0913000032305718,0.0912000015377998,0.0912000015377998,0.090999998152256,0.0910999998450279,0.0912000015377998,0.0908000022172928,0.0908000022172928
B11,0.091499999165535,0.0926000028848648,0.0931999981403351,0.0930000022053719,0.0925000011920929,0.0921000018715859,0.0920000001788139,0.0920000001788139,0.0920000001788139
C2,0.145600005984306,0.160600006580353,0.162799999117851,0.168799996376038,0.178900003433228,0.195800006389618,0.221799999475479,0.259999990463257,0.308400005102158
C3,0.14020000398159,0.175999999046326,0.176899999380112,0.184400007128716,0.198500007390976,0.222000002861023,0.258799999952316,0.307200014591217,0.362300008535385
C4,0.154799997806549,0.169900000095367,0.173500001430511,0.181799992918968,0.195999994874001,0.218899995088577,0.254200011491776,0.302899986505508,0.357100009918213
C5,0.146699994802475,0.165099993348122,0.169300004839897,0.175300002098084,0.190599992871284,0.211199998855591,0.244800001382828,0.289700001478195,0.340799987316132
C6,0.145300000905991,0.172700002789497,0.174999997019768,0.181700006127357,0.197799995541573,0.227400004863739,0.271600008010864,0.328299999237061,0.38280001282692
C7,0.121699996292591,0.143600001931191,0.147400006651878,0.153699994087219,0.162900000810623,0.17569999396801,0.194600000977516,0.222599998116493,0.256500005722046
C8,0.149700000882149,0.156299993395805,0.161300003528595,0.173800006508827,0.194600000977516,0.223700001835823,0.266799986362457,0.318899989128113,0.371399998664856
C9,0.149000003933907,0.153999999165535,0.161699995398521,0.175899997353554,0.201700001955032,0.239700004458427,0.291299998760223,0.34689998626709,0.409900009632111
C10,0.142199993133545,0.154899999499321,0.159999996423721,0.171800002455711,0.19480000436306,0.229599997401238,0.277200013399124,0.328900009393692,0.386500000953674
