Application: Tecan i-control,,,,"Tecan i-control , 1.11.1.0",,,,,
Device: infinite 200Pro,,,,Serial number: 1602000080,,,,Serial number of connected stacker:,
Firmware: V_3.40_01/15_Infinite (Dec 23 2014/12.45.11),,,,"MAI, V_3.40_01/15_Infinite (Dec 23 2014/12.45.11)",,,,,
,,,,,,,,,
Date:,9/14/2024,,,,,,,,
Time:,1:15:57 PM,,,,,,,,
,,,,,,,,,
,,,,,,,,,
System,,,,DESKTOP-R891HJ3,,,,,
User,,,,DESKTOP-R891HJ3\Barrick Lab,,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrene Cat. No.: 655101/655161/655192 [GRE96ft.pdfx],,,,,
Plate-ID (Stacker),,,,,,,,,
,,,,,,,,,
Wait (Plate),,,,On,Target Temperature: 37 °C,,,,
,,,,,,,,,
Wait (Plate Temperature),,,,Valid Range: 36.5 - 37.5 °C,,,,,
,,,,,,,,,
List of actions in this measurement script:,,,,,,,,,
B10,2,2,1,2,3,4,3,4,3
B11,1,2,2,2,4,3,4,5,4
C2,11,10,11,10,9,11,11,10,12
C3,11,9,10,10,10,12,10,12,12
C4,10,9,11,11,10,11,11,12,12
C5,12,9,10,11,11,12,11,12,11
C6,11,10,11,10,11,11,11,12,12
C7,2,3,3,3,3,4,4,4,4
C8,0,1,2,2,2,2,4,3,3
C9,2,2,2,2,3,3,3,3,3
C10,2,2,3,3,2,4,3,3,4
C11,2,1,3,2,4,4,3,3,4
D2,11,10,9,9,12,11,12,13,11
D3,11,10,9,9,10,11,13,12,11
D4,9,10,11,11,11,10,11,12,12
D5,10,11,10,11,10,11,12,12,12
D6,11,8,10,10,11,11,11,10,11
D7,2,2,2,4,3,4,4,4,4
D8,2,2,2,2,3,3,3,4,3
D9,1,2,2,3,3,4,4,3,5
D10,2,1,2,2,5,3,4,4,4
D11,2,2,2,3,3,3,3,4,4
E2,12,10,11,9,10,11,13,11,10
E3,9,11,11,11,11,11,12,10,13
E4,11,10,9,9,10,11,12,11,12
E5,9,9,10,8,10,10,12,11,12
E6,8,10,10,10,11,11,10,11,11
E7,1,2,2,3,3,4,3,3,4
E8,2,1,3,3,4,3,4,3,4
E9,2,2,2,3,2,5,4,4,4
E10,2,1,2,3,4,3,4,4,3
E11,1,1,2,2,3,4,2,4,4
F2,10,10,10,10,11,12,12,14,11
F3,12,11,10,11,11,11,12,12,13
F4,11,9,10,11,10,10,11,12,12
F5,10,10,10,12,12,10,11,11,11
F6,10,10,10,11,11,11,10,11,11
F7,1,2,2,3,3,4,4,5,4
F8,2,2,2,3,3,4,4,4,3
F9,2,2,2,2,3,2,3,3,3
F10,2,2,2,2,4,3,3,5,4
F11,2,1,2,3,4,4,4,5,4
G2,12,9,9,11,11,10,11,11,10
G3,11,11,10,11,12,11,13,10,11
G4,10,9,10,11,10,11,11,13,10
G5,10,9,12,10,11,12,10,12,12
G6,11,11,11,10,11,11,12,12,13
G7,2,1,4,3,3,4,4,3,3
G8,3,1,2,3,3,3,3,4,5
G9,1,2,2,2,3,3,3,4,4
G10,2,2,2,3,3,4,3,3,4
G11,2,1,2,2,3,3,4,3,4
,,,,,,,,,
OD660,,,,,,,,,
Cycle Nr.,1,2,3,4,5,6,7,8,9
Time [s],0,900,1799.8,2700,3599.8,4499.8,5400,6300,7200
Temp. [°C],37.3,37,37,36.8,37.1,37.2,37.1,37.1,37.1
B2,0.0854000002145767,0.0898000001907349,0.089699998497963,0.0898000001907349,0.089699998497963,0.089699998497963,0.0898000001907349,0.089599996805191,0.089599996805191
B3,0.091899998486042,0.0922000035643578,0.091899998486042,0.0917000025510788,0.0917000025510788,0.0917000025510788,0.0916000008583069,0.091499999165535,0.0913999974727631
B4,0.0908000022172928,0.090999998152256,0.0907000005245209,0.0907000005245209,0.090599998831749,0.090599998831749,0.0907000005245209,0.090599998831749,0.0904999971389771
B5,0.091499999165535,0.0913999974727631,0.0910999998450279,0.090999998152256,0.090999998152256,0.0908999964594841,0.0908999964594841,0.0908999964594841,0.0908000022172928
B6,0.0904000028967857,0.0917999967932701,0.091499999165535,0.0913999974727631,0.0913999974727631,0.0913000032305718,0.0912000015377998,0.0912000015377998,0.0910999998450279
B7,0.0768000036478043,0.0749000012874603,0.0747999995946884,0.0747999995946884,0.0750000029802322,0.0746999979019165,0.0746999979019165,0.0750999972224236,0.0749000012874603
B8,0.0819000005722046,0.0817999988794327,0.0817999988794327,0.0816999971866608,0.0817999988794327,0.0816999971866608,0.0816999971866608,0.0816000029444695,0.0816000029444695
B9,0.0820000022649765,0.0819000005722046,0.0817999988794327,0.0816999971866608,0.0817999988794327,0.0817999988794327,0.0817999988794327,0.0816999971866608,0.0816999971866608
B10,0.0812999978661537,0.0812000036239624,0.0811000019311905,0.0810000002384186,0.0812000036239624,0.0810000002384186,0.0811000019311905,0.0810000002384186,0.0810000002384186
B11,0.0817999988794327,0.0815000012516975,0.0815000012516975,0.0813999995589256,0.0815000012516975,0.0812999978661537,0.0812999978661537,0.0812999978661537,0.0812000036239624
C2,0.162799999117851,0.161200001835823,0.160799995064735,0.160500004887581,0.161799997091293,0.164299994707108,0.169100001454353,0.177699998021126,0.190099999308586
C3,0.173600003123283,0.168099999427795,0.165999993681908,0.164399996399879,0.166299998760223,0.171599999070168,0.180099993944168,0.19480000436306,0.216999992728233
C4,0.17569999396801,0.169400006532669,0.169200003147125,0.172000005841255,0.180899992585182,0.194399997591972,0.216800004243851,0.248099997639656,0.295500010251999
C5,0.180299997329712,0.17790000140667,0.176300004124641,0.176599994301796,0.180000007152557,0.18639999628067,0.197799995541573,0.216399997472763,0.245100006461144
C6,0.173099994659424,0.170200005173683,0.168500006198883,0.16779999434948,0.169200003147125,0.172999992966652,0.1807000041008,0.192399993538857,0.210700005292892
C7,0.0756999999284744,0.0756999999284744,0.0754999965429306,0.0754999965429306,0.0755999982357025,0.0755999982357025,0.0756999999284744,0.0756999999284744,0.0758000016212463
C8,0.0821999981999397,0.0820000022649765,0.0819000005722046,0.0817999988794327,0.0820000022649765,0.0819000005722046,0.0819000005722046,0.0819000005722046,0.0819000005722046
C9,0.0819000005722046,0.0819000005722046,0.0817999988794327,0.0817999988794327,0.0819000005722046,0.0817999988794327,0.0819000005722046,0.0817999988794327,0.0817999988794327
C10,0.0813999995589256,0.0813999995589256,0.0815000012516975,0.0812999978661537,0.0815000012516975,0.0812999978661537,0.0812999978661537,0.0813999995589256,0.0812999978661537
C11,0.0807000026106834,0.0806000009179115,0.0806000009179115,0.0804999992251396,0.0806000009179115,0.0804999992251396,0.0804999992251396,0.0806000009179115,0.0804999992251396
D2,0.168599992990494,0.164900004863739,0.16329999268055,0.162200003862381,0.164499998092651,0.170800000429153,0.176599994301796,0.189400002360344,0.208800002932549
D3,0.168999999761581,0.166400000452995,0.164599999785423,0.164100006222725,0.166999995708466,0.170800000429153,0.18019999563694,0.194700002670288,0.217199996113777
D4,0.17399999499321,0.168400004506111,0.165700003504753,0.164499998092651,0.165600001811981,0.168400004506111,0.17399999499321,0.182699993252754,0.196799993515015
D5,0.172800004482269,0.172600001096725,0.170300006866455,0.169599995017052,0.171599999070168,0.175999999046326,0.184300005435944,0.197799995541573,0.216399997472763
D6,0.174199998378754,0.173299998044968,0.171100005507469,0.171000003814697,0.174300000071526,0.180000007152557,0.189999997615814,0.205899998545647,0.228699997067451
D7,0.0760999992489815,0.0759999975562096,0.0759999975562096,0.0759999975562096,0.0762000009417534,0.0760999992489815,0.0760999992489815,0.0760999992489815,0.0759999975562096
D8,0.0817999988794327,0.0817999988794327,0.0817999988794327,0.0817999988794327,0.0819000005722046,0.0817999988794327,0.0819000005722046,0.0819000005722046,0.0817999988794327
D9,0.0825999975204468,0.0824000015854836,0.0824000015854836,0.0824000015854836,0.0824000015854836,0.0822999998927116,0.0825000032782555,0.0824000015854836,0.0822999998927116
D10,0.0829000025987625,0.0829000025987625,0.0829000025987625,0.0828000009059906,0.0829999968409538,0.0829000025987625,0.0829000025987625,0.0829999968409538,0.0828000009059906
D11,0.0811000019311905,0.0810000002384186,0.0810000002384186,0.0810000002384186,0.0811000019311905,0.0810000002384186,0.0811000019311905,0.0810000002384186,0.0808999985456467
E2,0.169400006532669,0.165500000119209,0.164100006222725,0.163000002503395,0.163699999451637,0.165800005197525,0.170000001788139,0.176400005817413,0.18639999628067
E3,0.170000001788139,0.167300000786781,0.166500002145767,0.168300002813339,0.174700006842613,0.184400007128716,0.200599998235703,0.226400002837181,0.261400014162064
E4,0.173899993300438,0.168099999427795,0.165600001811981,0.164599999785423,0.165999993681908,0.169300004839897,0.174899995326996,0.184599995613098,0.199000000953674
E5,0.178599998354912,0.175500005483627,0.173099994659424,0.172399997711182,0.174400001764297,0.178700000047684,0.186299994587898,0.198899999260902,0.217600002884865
E6,0.176100000739098,0.174500003457069,0.173500001430511,0.172999992966652,0.175500005483627,0.17960000038147,0.187800005078316,0.199799999594688,0.218799993395805
