,codon,charging_rate,ecol,gfp_rbs_foldx,species,ribo_density
88,0.3,100.0,1.0,10.0,GFP,7.176666666666667
89,0.3,100.0,1.0,10.0,cellularProtein,2.9236666666666666
90,0.3,300.0,0.6,0.1,GFP,0.13999999999999999
91,0.3,300.0,0.6,0.1,cellularProtein,3.2783333333333333
92,0.3,300.0,0.6,0.3,GFP,0.36833333333333335
93,0.3,300.0,0.6,0.3,cellularProtein,3.2513333333333336
94,0.3,300.0,0.6,1.0,GFP,1.26
95,0.3,300.0,0.6,1.0,cellularProtein,3.16
96,0.3,300.0,0.6,3.0,GFP,3.581666666666667
97,0.3,300.0,0.6,3.0,cellularProtein,2.8773333333333335
98,0.3,300.0,0.6,10.0,GFP,9.031666666666666
99,0.3,300.0,0.6,10.0,cellularProtein,2.193
100,0.3,300.0,0.8,0.1,GFP,0.11166666666666666
101,0.3,300.0,0.8,0.1,cellularProtein,3.0773333333333333
102,0.3,300.0,0.8,0.3,GFP,0.315
103,0.3,300.0,0.8,0.3,cellularProtein,3.046333333333333
104,0.3,300.0,0.8,1.0,GFP,1.1199999999999999
105,0.3,300.0,0.8,1.0,cellularProtein,2.9636666666666667
106,0.3,300.0,0.8,3.0,GFP,3.2783333333333333
107,0.3,300.0,0.8,3.0,cellularProtein,2.68
108,0.3,300.0,0.8,10.0,GFP,9.434999999999999
109,0.3,300.0,0.8,10.0,cellularProtein,1.8780000000000001
110,0.3,300.0,1.0,0.1,GFP,0.08
111,0.3,300.0,1.0,0.1,cellularProtein,3.203666666666667
112,0.3,300.0,1.0,0.3,GFP,0.22833333333333333
113,0.3,300.0,1.0,0.3,cellularProtein,3.264333333333333
114,0.3,300.0,1.0,1.0,GFP,0.8766666666666667
115,0.3,300.0,1.0,1.0,cellularProtein,3.143666666666667
116,0.3,300.0,1.0,3.0,GFP,2.395
117,0.3,300.0,1.0,3.0,cellularProtein,2.909
118,0.3,300.0,1.0,10.0,GFP,8.073333333333334
119,0.3,300.0,1.0,10.0,cellularProtein,2.0206666666666666
120,0.5,100.0,0.6,0.1,GFP,0.14666666666666667
121,0.5,100.0,0.6,0.1,cellularProtein,4.149666666666667
122,0.5,100.0,0.6,0.3,GFP,0.4883333333333334
123,0.5,100.0,0.6,0.3,cellularProtein,4.091333333333333
124,0.5,100.0,0.6,1.0,GFP,1.4516666666666667
125,0.5,100.0,0.6,1.0,cellularProtein,3.9270000000000005
126,0.5,100.0,0.6,3.0,GFP,3.663333333333333
127,0.5,100.0,0.6,3.0,cellularProtein,3.572333333333334
128,0.5,100.0,0.6,10.0,GFP,9.098333333333333
129,0.5,100.0,0.6,10.0,cellularProtein,2.6933333333333334
130,0.5,100.0,0.8,0.1,GFP,0.10666666666666666
131,0.5,100.0,0.8,0.1,cellularProtein,4.040333333333334
132,0.5,100.0,0.8,0.3,GFP,0.27666666666666667
133,0.5,100.0,0.8,0.3,cellularProtein,3.9659999999999997
134,0.5,100.0,0.8,1.0,GFP,0.9666666666666668
135,0.5,100.0,0.8,1.0,cellularProtein,3.8866666666666667
136,0.5,100.0,0.8,3.0,GFP,2.9566666666666666
137,0.5,100.0,0.8,3.0,cellularProtein,3.511333333333334
138,0.5,100.0,0.8,10.0,GFP,8.861666666666668
139,0.5,100.0,0.8,10.0,cellularProtein,2.5586666666666664
140,0.5,100.0,1.0,0.1,GFP,0.075
141,0.5,100.0,1.0,0.1,cellularProtein,4.207333333333333
142,0.5,100.0,1.0,0.3,GFP,0.2566666666666667
143,0.5,100.0,1.0,0.3,cellularProtein,4.172333333333333
144,0.5,100.0,1.0,1.0,GFP,0.7749999999999999
145,0.5,100.0,1.0,1.0,cellularProtein,4.085666666666667
146,0.5,100.0,1.0,3.0,GFP,2.165
147,0.5,100.0,1.0,3.0,cellularProtein,3.8579999999999997
148,0.5,100.0,1.0,10.0,GFP,6.136666666666668
149,0.5,100.0,1.0,10.0,cellularProtein,3.166
150,0.5,300.0,0.6,0.1,GFP,0.13333333333333333
151,0.5,300.0,0.6,0.1,cellularProtein,3.313
152,0.5,300.0,0.6,0.3,GFP,0.32999999999999996
