"","time","well","strain","rbs","experiment","groupID","OD660","growthrate","fluor","expression"
"44",38700,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.907360017299652,0.00461741257715108,2415.8,-99838.9052271787
"45",39600,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.908239971846342,0.00391631875897089,2397.3,-85423.8642914288
"46",40500,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.907370000332594,0.00264848859117549,2415.1,-96491.750813566
"47",41400,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.907840025424957,0.00303381834531073,2397.1,-44842.2585034645
"48",42300,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.908500006049871,0.00125559116377642,2407.8,-31722.8828467977
"49",43200,"B2","GFP25","R0.25",1,"1 GFP25 R0.25",0.909379975497723,0.00125439182435164,2396.2,-4359.95624429521
"50",0,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.0289599977433681,NA,378.9,NA
"51",900,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.0308999985456467,NA,315.9,NA
"52",1800,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.0416100040078163,NA,315.6,NA
"53",2700,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.0584500052034855,NA,346.1,NA
"54",3600,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.0819899998605251,1.04068179731182,416,2760530.71473371
"55",4500,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.109249999374151,1.26288269140986,563.6,13837988.5265362
"56",5400,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.137560001760721,1.1957195790503,806.5,20603926.1989972
"57",6300,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.16285999789834,1.02471914619165,1160.4,26644489.085513
"58",7200,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.185010001063347,0.813812596512056,1634.9,32423781.165696
"59",8100,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.207340010255575,0.640721179110457,2106.1,34618836.9886301
"60",9000,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.22919000312686,0.51049116915068,2627.7,35556422.7281902
"61",9900,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.256960014998913,0.456029565994725,3123.3,33928899.7774842
"62",10800,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.288749987632036,0.445151335584206,3569.8,29837823.5086464
"63",11700,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.329019998759031,0.461758528061999,3970.8,25597211.5536716
"64",12600,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.37396998628974,0.489624176117685,4273.3,20042628.4664355
"65",13500,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.424319987744093,0.501567369544792,4533.9,15176626.9219636
"66",14400,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.475239986926317,0.498258693077216,4686.3,10626024.7234427
"67",15300,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.513789997249842,0.445696080888126,4906.2,7955810.66480164
"68",16200,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.553400012850761,0.391905546942205,5131.9,6602583.90199332
"69",17100,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.590929976850748,0.33120966922665,5243.7,4995308.32305493
"70",18000,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.640139973908663,0.297866949592183,5396.1,4606598.24789162
"71",18900,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.665160027891397,0.258213038843887,5392.6,2954424.29126925
"72",19800,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.681319972872734,0.207950962602332,5435.6,1745987.65940115
"73",20700,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.699140007048845,0.168153490483971,5439.6,1076146.97898862
"74",21600,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.712490008026361,0.107079026549194,5448.7,278613.99333667
"75",22500,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.728690014779568,0.0912207666444014,5453.6,314901.913031447
"76",23400,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.74028997272253,0.0830099112969031,5409.8,-130378.756236309
"77",24300,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.75136002600193,0.0720339139816879,5429.5,-50055.4791392713
"78",25200,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.76276001110673,0.0681775603058433,5400,-237201.635532735
"79",26100,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.771499980986118,0.0570882253618963,5437.8,-75747.0834645651
"80",27000,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.782709991186857,0.0557202812830767,5429.7,94049.813762596
"81",27900,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.790689990669489,0.051021037808705,5428.4,-5130.83632638787
"82",28800,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.798610007762909,0.0459292776569328,5440.9,188466.235935213
"83",29700,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.807129987329245,0.0451480828983584,5438.6,3644.97908018213
"84",30600,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.815900018066168,0.0415295748207726,5399.1,-137870.960162432
"85",31500,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.823420009762049,0.0405604402527081,5423.9,-20070.6187764958
"86",32400,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.82986001521349,0.0383843040126728,5348.5,-408155.248308055
"87",33300,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.843819998204708,0.0444544695246583,5365.5,-319358.852966804
"88",34200,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.85234999358654,0.0437054124951105,5332,-289963.626081774
"89",35100,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.852279977500439,0.0344486745103835,5366.9,-244185.133599698
"90",36000,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.850290003418922,0.0243204415911136,5311.8,-156221.91786561
