,codon,charging_rate,ecol,gfp_rbs_foldx,species,protein
87,0.3,100.0,1.0,3.0,TTT_charged,191.03333333333333
88,0.3,100.0,1.0,10.0,ATA_charged,261.03333333333336
89,0.3,100.0,1.0,10.0,TTT_charged,225.5
90,0.3,300.0,0.6,0.1,ATA_charged,295.2666666666667
91,0.3,300.0,0.6,0.1,TTT_charged,1065.8
92,0.3,300.0,0.6,0.3,ATA_charged,291.6333333333333
93,0.3,300.0,0.6,0.3,TTT_charged,1082.0
94,0.3,300.0,0.6,1.0,ATA_charged,282.46666666666664
95,0.3,300.0,0.6,1.0,TTT_charged,1103.4333333333334
96,0.3,300.0,0.6,3.0,ATA_charged,267.6
97,0.3,300.0,0.6,3.0,TTT_charged,1141.9333333333334
98,0.3,300.0,0.6,10.0,ATA_charged,234.36666666666665
99,0.3,300.0,0.6,10.0,TTT_charged,1241.3
100,0.3,300.0,0.8,0.1,ATA_charged,480.8333333333333
101,0.3,300.0,0.8,0.1,TTT_charged,704.0
102,0.3,300.0,0.8,0.3,ATA_charged,475.7
103,0.3,300.0,0.8,0.3,TTT_charged,707.3
104,0.3,300.0,0.8,1.0,ATA_charged,442.3666666666667
105,0.3,300.0,0.8,1.0,TTT_charged,719.0666666666666
106,0.3,300.0,0.8,3.0,ATA_charged,385.6333333333333
107,0.3,300.0,0.8,3.0,TTT_charged,774.3666666666666
108,0.3,300.0,0.8,10.0,ATA_charged,282.6333333333333
109,0.3,300.0,0.8,10.0,TTT_charged,957.1666666666666
110,0.3,300.0,1.0,0.1,ATA_charged,744.8333333333334
111,0.3,300.0,1.0,0.1,TTT_charged,558.5
112,0.3,300.0,1.0,0.3,ATA_charged,736.4333333333333
113,0.3,300.0,1.0,0.3,TTT_charged,554.1
114,0.3,300.0,1.0,1.0,ATA_charged,699.3666666666667
115,0.3,300.0,1.0,1.0,TTT_charged,558.6666666666667
116,0.3,300.0,1.0,3.0,ATA_charged,614.1333333333333
117,0.3,300.0,1.0,3.0,TTT_charged,578.3333333333333
118,0.3,300.0,1.0,10.0,ATA_charged,410.1333333333333
119,0.3,300.0,1.0,10.0,TTT_charged,695.2333333333333
120,0.5,100.0,0.6,0.1,ATA_charged,96.1
121,0.5,100.0,0.6,0.1,TTT_charged,755.9
122,0.5,100.0,0.6,0.3,ATA_charged,93.76666666666668
123,0.5,100.0,0.6,0.3,TTT_charged,768.2333333333333
124,0.5,100.0,0.6,1.0,ATA_charged,90.1
125,0.5,100.0,0.6,1.0,TTT_charged,802.0333333333333
126,0.5,100.0,0.6,3.0,ATA_charged,88.0
127,0.5,100.0,0.6,3.0,TTT_charged,818.0666666666667
128,0.5,100.0,0.6,10.0,ATA_charged,83.9
129,0.5,100.0,0.6,10.0,TTT_charged,893.1
130,0.5,100.0,0.8,0.1,ATA_charged,357.56666666666666
