Application: Tecan i-control,,,,"Tecan i-control , 1.11.1.0",,,,,
Device: infinite 200Pro,,,,Serial number: 1602000080,,,,Serial number of connected stacker:,
Firmware: V_3.40_01/15_Infinite (Dec 23 2014/12.45.11),,,,"MAI, V_3.40_01/15_Infinite (Dec 23 2014/12.45.11)",,,,,
,,,,,,,,,
Date:,9/6/2024,,,,,,,,
Time:,11:46:29 AM,,,,,,,,
,,,,,,,,,
,,,,,,,,,
System,,,,DESKTOP-R891HJ3,,,,,
User,,,,DESKTOP-R891HJ3\Barrick Lab,,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrene Cat. No.: 655101/655161/655192 [GRE96ft.pdfx],,,,,
Plate-ID (Stacker),,,,,,,,,
,,,,,,,,,
Wait (Plate),,,,On,Target Temperature: 37 °C,,,,
,,,,,,,,,
Wait (Plate Temperature),,,,Valid Range: 36.5 - 37.5 °C,,,,,
,,,,,,,,,
List of actions in this measurement script:,,,,,,,,,
B10,2,3,2,2,2,2,3,4,4
B11,1,1,2,3,3,3,3,3,4
C2,14,13,11,14,14,14,15,13,14
C3,15,13,14,16,14,12,14,13,14
C4,14,14,14,12,13,13,13,13,14
C5,13,13,13,14,15,12,12,14,15
C6,14,13,11,15,11,12,13,13,12
C7,2,3,3,3,3,3,4,4,4
C8,2,2,2,2,3,4,3,3,3
C9,1,1,3,2,3,2,3,3,3
C10,2,3,2,3,3,5,3,4,4
C11,2,2,3,3,2,5,4,3,4
D2,15,13,14,14,13,14,14,14,14
D3,15,13,13,13,13,13,14,15,13
D4,15,14,12,14,14,14,14,12,13
D5,12,14,15,13,14,13,13,14,15
D6,15,12,14,13,14,14,13,15,13
D7,2,1,3,5,2,4,2,3,3
D8,2,2,2,3,2,4,4,3,3
D9,1,3,3,2,3,3,3,3,4
D10,2,2,3,1,2,3,2,3,2
D11,1,2,3,3,3,3,3,4,4
E2,15,12,13,14,14,13,13,14,13
E3,14,15,13,13,14,12,13,13,15
E4,12,13,14,13,15,11,13,14,14
E5,14,14,15,16,14,14,13,15,13
E6,13,14,14,13,16,14,14,15,14
E7,2,2,3,3,4,3,3,5,3
E8,2,2,2,2,3,3,3,3,3
E9,2,2,3,2,3,3,3,3,2
E10,1,2,3,3,3,2,4,5,3
E11,3,2,2,3,3,3,3,3,3
F2,13,12,14,12,14,15,13,15,13
F3,15,14,15,15,15,13,13,13,13
F4,15,15,14,12,13,15,14,11,13
F5,14,12,14,14,13,14,12,13,13
F6,15,14,14,14,12,14,13,13,14
F7,2,2,2,3,3,3,4,2,4
F8,1,1,3,3,2,3,3,2,3
F9,2,1,3,3,2,2,3,3,3
F10,2,2,3,2,3,4,4,4,3
F11,1,2,3,2,3,4,3,3,4
G2,15,13,13,13,13,14,13,15,11
G3,16,14,13,15,15,12,14,14,14
G4,12,14,14,14,15,13,14,15,14
G5,16,12,12,14,13,13,13,13,15
G6,13,14,15,13,14,14,13,13,14
G7,2,3,3,3,4,4,4,3,4
G8,1,3,3,3,4,3,3,4,4
G9,2,2,3,2,3,3,3,3,4
G10,2,2,2,4,4,2,3,3,4
G11,2,1,3,3,4,3,3,4,4
,,,,,,,,,
OD660,,,,,,,,,
Cycle Nr.,1,2,3,4,5,6,7,8,9
Time [s],0,900,1800,2700,3600,4500,5400.2,6300.2,7200.2
Temp. [°C],37.1,37.2,37,37,36.9,36.9,36.9,37,37
B2,0.0869000032544136,0.0888999998569489,0.088699996471405,0.0885000005364418,0.088299997150898,0.088699996471405,0.088699996471405,0.088299997150898,0.088699996471405
B3,0.0882000029087067,0.089599996805191,0.089199997484684,0.0891000032424927,0.0895000025629997,0.0895000025629997,0.0890000015497208,0.0892999991774559,0.0887999981641769
B4,0.0866999998688698,0.0904999971389771,0.0901999995112419,0.0903000012040138,0.0900000035762787,0.09009999781847,0.0901999995112419,0.09009999781847,0.09009999781847
B5,0.0894000008702278,0.090999998152256,0.0903000012040138,0.0904999971389771,0.09009999781847,0.0904999971389771,0.090599998831749,0.09009999781847,0.0903000012040138
B6,0.0882000029087067,0.0898000001907349,0.0898000001907349,0.089699998497963,0.089599996805191,0.0895000025629997,0.089599996805191,0.0900000035762787,0.0899000018835068
B7,0.0740000009536743,0.0742999985814095,0.0736000016331673,0.0733999982476234,0.0733999982476234,0.0734999999403954,0.0737000033259392,0.0738999992609024,0.0737999975681305
B8,0.0803999975323677,0.0807999968528748,0.0837000012397766,0.0940999984741211,0.110799998044968,0.12219999730587,0.123000003397465,0.122000001370907,0.121299996972084
B9,0.0811000019311905,0.0813999995589256,0.0829999968409538,0.0869999974966049,0.0940999984741211,0.102799996733665,0.114500001072884,0.119199998676777,0.115800000727177
B10,0.0811000019311905,0.0812999978661537,0.0824000015854836,0.0847999975085259,0.0885000005364418,0.092799998819828,0.0966999977827072,0.0998999997973442,0.10249999910593
B11,0.0813999995589256,0.0816999971866608,0.0825999975204468,0.0839999988675118,0.0857999995350838,0.0874999985098839,0.0890000015497208,0.0901999995112419,0.0912000015377998
C2,0.162699997425079,0.163599997758865,0.160400003194809,0.158899992704391,0.162499994039536,0.168999999761581,0.18019999563694,0.199200004339218,0.225899994373322
C3,0.171900004148483,0.164000004529953,0.159700006246567,0.157700002193451,0.166899994015694,0.173500001430511,0.19030000269413,0.215200006961823,0.250800013542175
C4,0.165900006890297,0.158199995756149,0.156299993395805,0.153200000524521,0.154100000858307,0.158199995756149,0.16609999537468,0.181199997663498,0.201900005340576
C5,0.168099999427795,0.175799995660782,0.17059999704361,0.163699999451637,0.165500000119209,0.169300004839897,0.178299993276596,0.1942999958992,0.218600004911423
C6,0.159199997782707,0.153300002217293,0.152199998497963,0.153600007295609,0.158099994063377,0.166899994015694,0.182799994945526,0.207599997520447,0.240700006484985
C7,0.0738999992609024,0.0732000023126602,0.0732000023126602,0.0737999975681305,0.0737999975681305,0.0738999992609024,0.0737999975681305,0.0741000026464462,0.0740000009536743
C8,0.0810000002384186,0.0811000019311905,0.0826999992132187,0.0888999998569489,0.103799998760223,0.12049999833107,0.121699996292591,0.116700001060963,0.11599999666214
C9,0.0808999985456467,0.0810000002384186,0.0816999971866608,0.0838999971747398,0.0878999978303909,0.093699999153614,0.100599996745586,0.107799999415874,0.113399997353554
C10,0.0807999968528748,0.0808999985456467,0.0813999995589256,0.0826999992132187,0.0851000025868416,0.0879999995231628,0.0910999998450279,0.0943000018596649,0.0970999971032143
C11,0.0806000009179115,0.0807999968528748,0.0815000012516975,0.0826999992132187,0.0842000022530556,0.0856999978423119,0.0870999991893768,0.0883999988436699,0.0892999991774559
D2,0.156900003552437,0.163599997758865,0.161899998784065,0.162900000810623,0.168500006198883,0.176400005817413,0.192499995231628,0.218199998140335,0.253699988126755
D3,0.171499997377396,0.162400007247925,0.158899992704391,0.157000005245209,0.158299997448921,0.162200003862381,0.170000001788139,0.1824000030756,0.200299993157387
D4,0.168500006198883,0.166700005531311,0.163800001144409,0.163000002503395,0.168099999427795,0.17509999871254,0.186299994587898,0.206499993801117,0.234699994325638
D5,0.161500006914139,0.173899993300438,0.168599992990494,0.164499998092651,0.165000006556511,0.168999999761581,0.175999999046326,0.18469999730587,0.198699995875359
D6,0.160199999809265,0.152600005269051,0.151600003242493,0.152999997138977,0.157499998807907,0.165099993348122,0.178399994969368,0.198500007390976,0.227200001478195
D7,0.0758000016212463,0.0756999999284744,0.0750000029802322,0.0750999972224236,0.0754999965429306,0.0753000006079674,0.0759000033140183,0.0758000016212463,0.0759000033140183
D8,0.0808999985456467,0.0812000036239624,0.0825999975204468,0.0869000032544136,0.0970999971032143,0.112000003457069,0.121200002729893,0.118500001728535,0.113799996674061
D9,0.0807000026106834,0.0808999985456467,0.0813999995589256,0.0828000009059906,0.0851999968290329,0.088699996471405,0.0930000022053719,0.0979999974370003,0.102899998426437
D10,0.0812999978661537,0.0812999978661537,0.0817999988794327,0.0829000025987625,0.0843999981880188,0.0863000005483627,0.088299997150898,0.0904999971389771,0.0925000011920929
D11,0.0800999999046326,0.0803000032901764,0.0808999985456467,0.0819000005722046,0.0832000002264977,0.0843999981880188,0.0856999978423119,0.0866999998688698,0.0877000018954277
E2,0.164100006222725,0.166600003838539,0.164399996399879,0.165099993348122,0.170000001788139,0.178900003433228,0.192900002002716,0.214300006628037,0.2449000030756
