"","time","well","iptg","strain","rbs","temp","OD660","fluor","mCherry","GFP","gfp_norm","mch_norm","lnOD660","experiment","groupID","gfp_expression","mch_expression","growthrate","tgt_fluor","tgt_expression"
"1",0,"B2",0.01875,"GFP25","R0.25",37.1333333333333,0.0279600031673908,"GFP",1,325.9,11655.9357325142,35.765375061412,-3.5769802483336,1,"1 GFP25 R0.25",NA,NA,NA,325.9,NA
"2",900,"B2",0.01875,"GFP25","R0.25",37.1333333333333,0.0307999968528748,"GFP",-1.5,281.9,9152.59833780433,-48.7013036775683,-3.480240691182,1,"1 GFP25 R0.25",NA,NA,NA,281.9,NA
"3",1800,"B2",0.01875,"GFP25","R0.25",37.1,0.0440099999308586,"GFP",0.800000000000001,282.6,6421.26790374859,18.1776869179012,-3.12333839973018,1,"1 GFP25 R0.25",NA,NA,NA,282.6,NA
"4",2700,"B2",0.01875,"GFP25","R0.25",37.0666666666667,0.0625500001013279,"GFP",-0.800000000000001,299.1,4781.77457258949,-12.7897681647329,-2.77178904044927,1,"1 GFP25 R0.25",NA,NA,NA,299.1,NA
"5",3600,"B2",0.01875,"GFP25","R0.25",37.2,0.0904899947345257,"GFP",-2.1,337,3724.16863310326,-23.2069855475278,-2.40251598980756,1,"1 GFP25 R0.25",781048.450301487,-218130.648282397,1.17446425852604,337,781048.450301487
"6",4500,"B2",0.01875,"GFP25","R0.25",37.0666666666667,0.12494999691844,"GFP",0,405.6,3246.09851943216,0,-2.07984164636352,1,"1 GFP25 R0.25",6311224.69483869,76530.6147312694,1.40039904481848,405.6,6311224.69483869
"7",5400,"B2",0.01875,"GFP25","R0.25",37,0.16446001008153,"GFP",-0.6,513.5,3122.33958726767,-3.64830331521052,-1.80508783813859,1,"1 GFP25 R0.25",8543765.12951915,-51802.8201876432,1.31825056159159,513.5,8543765.12951915
"8",6300,"B2",0.01875,"GFP25","R0.25",37.1333333333333,0.204860008507967,"GFP",-1.1,671.4,3277.36001228316,-5.36952042524796,-1.58542841844311,1,"1 GFP25 R0.25",10352690.1993078,-8342.21611547767,1.18636062200616,671.4,10352690.1993078
"9",7200,"B2",0.01875,"GFP25","R0.25",37.3,0.247809991240501,"GFP",1.3,884.9,3570.88104305366,5.24595474739492,-1.39509299082388,1,"1 GFP25 R0.25",11845490.4481708,73507.3325858382,1.00742299898368,884.9,11845490.4481708
"10",8100,"B2",0.01875,"GFP25","R0.25",37.1,0.297640004009008,"GFP",-0.199999999999999,1081.1,3632.24024135976,-0.671952685479557,-1.21187056298376,1,"1 GFP25 R0.25",11694494.5506455,-3462.47062935468,0.867971083379765,1081.1,11694494.5506455
"11",9000,"B2",0.01875,"GFP25","R0.25",37.1,0.356190007179976,"GFP",0.699999999999999,1271.7,3570.2854498033,1.96524322942699,-1.03229096247861,1,"1 GFP25 R0.25",10738024.6225669,18411.2793581337,0.772796875659975,1271.7,10738024.6225669
"12",9900,"B2",0.01875,"GFP25","R0.25",37.0666666666667,0.422259996831417,"GFP",-0.699999999999999,1452.3,3439.35018921486,-1.65774642460263,-0.862134048426067,1,"1 GFP25 R0.25",9194510.53701631,4709.69934025679,0.723294370017042,1452.3,9194510.53701631
"13",10800,"B2",0.01875,"GFP25","R0.25",37.1,0.469850028306246,"GFP",-0.199999999999999,1593.8,3392.1462253508,-0.425667740663922,-0.755341723907783,1,"1 GFP25 R0.25",7113700.23910554,-15052.2645770325,0.639751266916098,1593.8,7113700.23910554
"14",11700,"B2",0.01875,"GFP25","R0.25",37.2,0.517820005863905,"GFP",-1,1726.8,3334.7494890992,-1.93117297260783,-0.65812757613469,1,"1 GFP25 R0.25",5631759.39178633,-6977.55538706686,0.553742986849066,1726.8,5631759.39178633
"15",12600,"B2",0.01875,"GFP25","R0.25",37.1666666666667,0.563269986957312,"GFP",-0.0999999999999996,1843.3,3272.4981672771,-0.177534756538658,-0.573996215244216,1,"1 GFP25 R0.25",4416950.31272691,-6181.87587505514,0.458294747234399,1843.3,4416950.31272691
"16",13500,"B2",0.01875,"GFP25","R0.25",37.1,0.622619991749525,"GFP",1.1,1978.9,3178.34317275841,1.76672772248939,-0.473818911388116,1,"1 GFP25 R0.25",3651562.88361641,12481.6049952707,0.388315137037952,1978.9,3651562.88361641
"17",14400,"B2",0.01875,"GFP25","R0.25",37.0333333333333,0.657039994746447,"GFP",1.1,2049.3,3118.98821439451,1.67417510166104,-0.42001038754599,1,"1 GFP25 R0.25",2896559.0256194,8266.79853634515,0.335331336361793,2049.3,2896559.0256194
"18",15300,"B2",0.01875,"GFP25","R0.25",37.1666666666667,0.687390015274286,"GFP",0.800000000000001,2103.2,3059.68948233961,1.16382254938745,-0.374853440022078,1,"1 GFP25 R0.25",2222732.5555984,10629.4330501518,0.283274136112613,2103.2,2222732.5555984
"19",16200,"B2",0.01875,"GFP25","R0.25",37.0333333333333,0.708200010657311,"GFP",1.3,2196.9,3102.08975845816,1.83563962219291,-0.345028724255886,1,"1 GFP25 R0.25",1965342.19372087,7781.3322149582,0.228967490988329,2196.9,1965342.19372087
"20",17100,"B2",0.01875,"GFP25","R0.25",37.3,0.73053001537919,"GFP",2.6,2236.7,3061.749624126,3.55905978572344,-0.313984959820734,1,"1 GFP25 R0.25",1362507.25593347,7927.69931691312,0.159833951567382,2236.7,1362507.25593347
"21",18000,"B2",0.01875,"GFP25","R0.25",37.0666666666667,0.747140026837587,"GFP",2.5,2282.1,3054.44751723371,3.34609298150137,-0.291502659157146,1,"1 GFP25 R0.25",1186981.25523186,7138.20342493385,0.128507728388844,2282.1,1186981.25523186
"22",18900,"B2",0.01875,"GFP25","R0.25",37.0666666666667,0.765459982305765,"GFP",1.5,2300.6,3005.5130943227,1.9596060338538,-0.267278341794607,1,"1 GFP25 R0.25",976497.216255077,3462.75608601091,0.10757509822747,2300.6,976497.216255077
"23",19800,"B2",0.01875,"GFP25","R0.25",37.2333333333333,0.779819986224174,"GFP",2.5,2339.6,3000.17958160851,3.20586807745823,-0.248692172825977,1,"1 GFP25 R0.25",688420.45623066,5789.09984216393,0.0963365514299097,2339.6,688420.45623066
"24",20700,"B2",0.01875,"GFP25","R0.25",37.2,0.792339975386858,"GFP",3.7,2365.6,2985.58708822561,4.66971264221963,-0.232764717422129,1,"1 GFP25 R0.25",608132.018387231,5189.64484271493,0.0812202423986047,2365.6,608132.018387231
"25",21600,"B2",0.01875,"GFP25","R0.25",37.0333333333333,0.802189991623163,"GFP",1.5,2395.7,2986.44962542166,1.86988121974057,-0.220409801885614,1,"1 GFP25 R0.25",526068.001850285,-4630.88029797787,0.0710928572715319,2395.7,526068.001850285
"26",22500,"B2",0.01875,"GFP25","R0.25",37.1,0.815489993989468,"GFP",1.9,2417.6,2964.59799362201,2.32988756944152,-0.203966126782403,1,"1 GFP25 R0.25",532450.13969157,1820.3423579199,0.0633122150122037,2417.6,532450.13969157
